//---------------------------------------------------------
// 以下學生及成績資料均為程式任意產生, 並非真實數據.
// stuNo, course, score
//---------------------------------------------------------

120001,國文,28
120001,英語,25
120001,數學,25
120001,社會,22
120001,自然,25
120001,寫作,4
120002,國文,37
120002,英語,40
120002,數學,36
120002,社會,37
120002,自然,39
120002,寫作,4
120003,國文,44
120003,英語,60
120003,數學,40
120003,社會,38
120003,自然,43
120003,寫作,4
120004,國文,48
120004,英語,34
120004,數學,44
120004,社會,43
120004,自然,34
120004,寫作,4
120005,國文,34
120005,英語,43
120005,數學,27
120005,社會,18
120005,自然,20
120005,寫作,5
120006,國文,35
120006,英語,43
120006,數學,47
120006,社會,32
120006,自然,31
120006,寫作,5
120007,國文,42
120007,英語,60
120007,數學,38
120007,社會,41
120007,自然,39
120007,寫作,4
120008,國文,46
120008,英語,48
120008,數學,36
120008,社會,39
120008,自然,37
120008,寫作,4
120009,國文,35
120009,英語,50
120009,數學,36
120009,社會,36
120009,自然,37
120009,寫作,3
120010,國文,46
120010,英語,54
120010,數學,42
120010,社會,41
120010,自然,46
120010,寫作,4
120011,國文,38
120011,英語,60
120011,數學,49
120011,社會,31
120011,自然,46
120011,寫作,4
120012,國文,44
120012,英語,50
120012,數學,25
120012,社會,39
120012,自然,41
120012,寫作,4
120013,國文,37
120013,英語,54
120013,數學,42
120013,社會,30
120013,自然,32
120013,寫作,5
120014,國文,34
120014,英語,42
120014,數學,38
120014,社會,37
120014,自然,34
120014,寫作,5
120015,國文,40
120015,英語,50
120015,數學,38
120015,社會,48
120015,自然,46
120015,寫作,4
120016,國文,46
120016,英語,48
120016,數學,36
120016,社會,46
120016,自然,38
120016,寫作,4
120017,國文,42
120017,英語,50
120017,數學,38
120017,社會,43
120017,自然,44
120017,寫作,4
120018,國文,46
120018,英語,42
120018,數學,40
120018,社會,37
120018,自然,44
120018,寫作,4
120019,國文,40
120019,英語,43
120019,數學,27
120019,社會,37
120019,自然,37
120019,寫作,4
120020,國文,38
120020,英語,50
120020,數學,40
120020,社會,45
120020,自然,33
120020,寫作,4
120021,國文,35
120021,英語,35
120021,數學,17
120021,社會,32
120021,自然,21
120021,寫作,4
120022,國文,29
120022,英語,54
120022,數學,32
120022,社會,37
120022,自然,35
120022,寫作,4
120023,國文,27
120023,英語,18
120023,數學,40
120023,社會,32
120023,自然,35
120023,寫作,4
120024,國文,34
120024,英語,43
120024,數學,36
120024,社會,36
120024,自然,40
120024,寫作,4
120025,國文,40
120025,英語,10
120025,數學,44
120025,社會,42
120025,自然,38
120025,寫作,4
120026,國文,31
120026,英語,48
120026,數學,36
120026,社會,37
120026,自然,41
120026,寫作,3
120027,國文,40
120027,英語,43
120027,數學,15
120027,社會,32
120027,自然,25
120027,寫作,4
120028,國文,27
120028,英語,28
120028,數學,30
120028,社會,33
120028,自然,21
120028,寫作,4
120029,國文,40
120029,英語,43
120029,數學,29
120029,社會,23
120029,自然,21
120029,寫作,4
120030,國文,42
120030,英語,25
120030,數學,30
120030,社會,33
120030,自然,33
120030,寫作,4
120031,國文,44
120031,英語,43
120031,數學,24
120031,社會,48
120031,自然,45
120031,寫作,3
120032,國文,31
120032,英語,24
120032,數學,27
120032,社會,20
120032,自然,22
120032,寫作,4
120033,國文,38
120033,英語,48
120033,數學,22
120033,社會,20
120033,自然,35
120033,寫作,4
120034,國文,25
120034,英語,20
120034,數學,25
120034,社會,29
